year,state_abbr,geoid,dvote,rvote,ovote,totalvote,dem_margin,power,voting_power
2016,AZ,04030,27941.0,14152.0,0.0,42093.0,32.75841588862756,0.009153158916115572,0.0002794139663906395
2016,AR,05022,9477.0,14453.0,0.0,23930.0,-20.793982448809025,0.0032970338035203813,0.00015855711197396047
2016,AR,05026,21040.0,0.0,5703.0,26743.0,57.349586807762776,0.0032970338035203813,5.749010563183515e-05
2016,AR,05027,13986.0,16803.0,0.0,30789.0,-9.14937152879275,0.0032970338035203813,0.0003603563144358858
2016,AR,05032,28082.0,0.0,9351.0,37433.0,50.03873587476291,0.0032970338035203813,6.588963022111923e-05
2016,AR,05034,15541.0,21497.0,0.0,37038.0,-16.08078189967061,0.0032970338035203813,0.00020502944596169893
2014,AR,05014,0.0,20899.0,8460.0,29359.0,-100.0,0.0032970338035203813,3.297033803520381e-05
2014,AR,05019,10481.0,14647.0,0.0,25128.0,-16.57911493155046,0.0032970338035203813,0.00019886669566697107
2014,AR,05020,10405.0,12096.0,0.0,22501.0,-7.515221545709079,0.0032970338035203813,0.0004387141195328924
2014,AR,05035,10276.0,13488.0,0.0,23764.0,-13.51624305672446,0.0032970338035203813,0.00024393123071873702
2016,CA,06001,161502.0,287314.0,0.0,448816.0,-28.031977469608925,0.03786493914405441,0.0013507765973736943
2016,CA,06003,357628.0,0.0,0.0,357628.0,100.0,0.03786493914405441,0.0003786493914405441
2016,CA,06005,174847.0,133604.0,0.0,308451.0,13.371005443328112,0.03786493914405441,0.0028318692490659574
2016,CA,06007,270485.0,135122.0,0.0,405607.0,33.3729447470088,0.03786493914405441,0.0011345998811641642
2016,CA,06009,379706.0,0.0,0.0,379706.0,100.0,0.03786493914405441,0.0003786493914405441
2016,CA,06011,410778.0,0.0,0.0,410778.0,100.0,0.03786493914405441,0.0003786493914405441
2016,CA,06013,296400.0,94269.0,0.0,390669.0,51.739708039286455,0.03786493914405441,0.0007318351915573856
2016,CA,06015,313531.0,0.0,0.0,313531.0,100.0,0.03786493914405441,0.0003786493914405441
2016,CA,06017,268806.0,141339.0,0.0,410145.0,31.078521010862016,0.03786493914405441,0.0012183636129537993
2016,CA,06019,224834.0,131598.0,0.0,356432.0,26.158145172150647,0.03786493914405441,0.0014475391467881078
2016,CA,06021,142886.0,160043.0,0.0,302929.0,-5.66370337603861,0.03786493914405441,0.006685544180200068
2016,CA,06023,141533.0,184470.0,0.0,326003.0,-13.17073769259792,0.03786493914405441,0.002874929258164094
2016,CA,06025,218242.0,159014.0,0.0,377256.0,15.699684034183683,0.03786493914405441,0.002411828101865569
2016,CA,06027,218655.0,172827.0,0.0,391482.0,11.706285346452711,0.03786493914405441,0.003234581938114844
2016,CA,06029,160230.0,157732.0,0.0,317962.0,0.7856284713267624,0.03786493914405441,0.04819700472426672
2016,CA,06031,167574.0,109238.0,0.0,276812.0,21.07423088594425,0.03786493914405441,0.0017967412120035637
2016,CA,06033,177971.0,0.0,48316.0,226287.0,57.296707278809656,0.03786493914405441,0.0006608571581574671
2016,CA,06035,252808.0,0.0,0.0,252808.0,100.0,0.03786493914405441,0.0003786493914405441
2016,CA,06037,172455.0,228480.0,0.0,400935.0,-13.97358674099293,0.03786493914405441,0.0027097508925874973
2016,CA,06039,258686.0,155053.0,0.0,413739.0,25.047916681772808,0.03786493914405441,0.0015117001395812074
2014,CA,06002,188142.0,80778.0,0.0,268920.0,39.92414100847836,0.03786493914405441,0.0009484221372731186
2014,CA,06004,79457.0,139199.0,0.0,218656.0,-27.322369383872385,0.03786493914405441,0.0013858585473339293
2014,CA,06006,179626.0,0.0,0.0,179626.0,100.0,0.03786493914405441,0.0003786493914405441
2014,CA,06008,73417.0,145587.0,0.0,219004.0,-32.953736004821835,0.03786493914405441,0.001149033273147359
2014,CA,06010,111162.0,52302.0,0.0,163464.0,36.0079283511966,0.03786493914405441,0.0010515722752707627
2014,CA,06012,49039.0,74988.0,0.0,124027.0,-20.922057293976312,0.03786493914405441,0.0018098095522831846
2014,CA,06014,46035.0,54251.0,0.0,100286.0,-8.192569251939453,0.03786493914405441,0.004621863786514898
2014,CA,06016,45812.0,122700.0,0.0,168512.0,-45.62761109001139,0.03786493914405441,0.0008298689815111457
2014,CA,06018,79495.0,33794.0,0.0,113289.0,40.34019189859563,0.03786493914405441,0.0009386405309929279
2014,CA,06020,56943.0,34256.0,0.0,91199.0,24.876369258434853,0.03786493914405441,0.0015221248225850124
2014,CA,06022,63570.0,34468.0,0.0,98038.0,29.684408086660273,0.03786493914405441,0.0012755834319994523
2014,CA,06024,87260.0,0.0,0.0,87260.0,100.0,0.03786493914405441,0.0003786493914405441
2014,CA,06026,203682.0,0.0,0.0,203682.0,100.0,0.03786493914405441,0.0003786493914405441
2014,CA,06028,0.0,154051.0,0.0,154051.0,-100.0,0.03786493914405441,0.0003786493914405441
2014,CA,06030,113557.0,0.0,0.0,113557.0,100.0,0.03786493914405441,0.0003786493914405441
2014,CA,06032,67593.0,61718.0,0.0,129311.0,4.543310313894409,0.03786493914405441,0.008334218120266928
2014,CA,06034,69220.0,95792.0,0.0,165012.0,-16.10307129178484,0.03786493914405441,0.002351411010853043
2014,CA,06036,73539.0,140610.0,0.0,214149.0,-31.319782020929352,0.03786493914405441,0.0012089783740752498
2014,CA,06038,66066.0,146510.0,0.0,212576.0,-37.84246575342466,0.03786493914405441,0.0010005938669741072
2014,CA,06040,107277.0,0.0,0.0,107277.0,100.0,0.03786493914405441,0.0003786493914405441
2016,CO,08004,27779.0,62981.0,0.0,90760.0,-38.78580872631115,0.006230775522173238,0.00016064575489814302
2016,CO,08008,32530.0,39526.0,0.0,72056.0,-9.709115132674587,0.006230775522173238,0.0006417449414318394
2016,CO,08010,24430.0,47832.0,0.0,72262.0,-32.38493260634912,0.006230775522173238,0.0001923973595347759
2016,CO,08012,0.0,45938.0,15071.0,61009.0,-100.0,0.006230775522173238,6.230775522173237e-05
2016,CO,08014,52902.0,32886.0,0.0,85788.0,23.331934536298782,0.006230775522173238,0.0002670492458514177
2016,CO,08017,57649.0,0.0,0.0,57649.0,100.0,0.006230775522173238,6.230775522173237e-05
2016,CO,08018,67799.0,17370.0,0.0,85169.0,59.210510866629875,0.006230775522173238,0.00010523090294234915
2016,CO,08019,39070.0,37592.0,5112.0,81774.0,1.8074204514882481,0.006230775522173238,0.0034473304299742513
2016,CO,08021,38428.0,352.0,0.0,38780.0,98.18463125322332,0.006230775522173238,6.345978431292104e-05
2016,CO,08023,40281.0,55528.0,0.0,95809.0,-15.913953803922388,0.006230775522173238,0.0003915290693276682
2016,CO,08025,27678.0,30074.0,0.0,57752.0,-4.14877406843053,0.006230775522173238,0.0015018353420557132
2016,CO,08026,42145.0,36666.0,0.0,78811.0,6.952075217926431,0.006230775522173238,0.0008962468510275508
2016,CO,08027,38489.0,44169.0,0.0,82658.0,-6.871688160855574,0.006230775522173238,0.0009067314139292173
2016,CO,08028,39143.0,31096.0,0.0,70239.0,11.456598186192855,0.006230775522173238,0.0005438591299887238
2016,CO,08029,30998.0,22503.0,3698.0,57199.0,14.851658245773528,0.006230775522173238,0.0004195339954005733
2016,CO,08031,57793.0,25268.0,0.0,83061.0,39.157968240209,0.006230775522173238,0.0001591189686847752
2016,CO,08033,57049.0,12564.0,0.0,69613.0,63.90329392498527,0.006230775522173238,9.750319802743523e-05
2016,CO,08035,23358.0,38880.0,0.0,62238.0,-24.939747421189626,0.006230775522173238,0.00024983314453615386
2014,CO,08001,0.0,45689.0,7876.0,53565.0,-100.0,0.006230775522173238,6.230775522173237e-05
2014,CO,08002,0.0,38895.0,13019.0,51914.0,-100.0,0.006230775522173238,6.230775522173237e-05
2014,CO,08003,27813.0,22814.0,0.0,50627.0,9.874177810259347,0.006230775522173238,0.0006310171481517594
2014,CO,08005,27526.0,26225.0,0.0,53751.0,2.4204200852077173,0.006230775522173238,0.0025742537670433024
2014,CO,08006,0.0,43482.0,0.0,43482.0,-100.0,0.006230775522173238,6.230775522173237e-05
2014,CO,08007,16506.0,39580.0,0.0,56086.0,-41.14039154156117,0.006230775522173238,0.0001514515367671874
2014,CO,08009,0.0,53867.0,0.0,53867.0,-100.0,0.006230775522173238,6.230775522173237e-05
2014,CO,08011,18815.0,14978.0,2282.0,36075.0,10.636174636174637,0.006230775522173238,0.0005858098174678122
2014,CO,08013,14879.0,26063.0,0.0,40942.0,-27.316691905622587,0.006230775522173238,0.0002280940731659663
2014,CO,08015,0.0,47581.0,0.0,47581.0,-100.0,0.006230775522173238,6.230775522173237e-05
2014,CO,08016,33734.0,35631.0,0.0,69365.0,-2.734808621062496,0.006230775522173238,0.002278322319955438
2014,CO,08020,33543.0,33104.0,5018.0,71665.0,0.6125723854043117,0.006230775522173238,0.010171492660513556
2014,CO,08022,30510.0,29174.0,0.0,59684.0,2.238455867569198,0.006230775522173238,0.0027835150169564934
2014,CO,08024,25268.0,26164.0,0.0,51432.0,-1.7421060818167677,0.006230775522173238,0.003576576413576049
2014,CO,08030,21566.0,39897.0,0.0,61463.0,-29.82444722841384,0.006230775522173238,0.00020891503786991093
2014,CO,08032,35852.0,17356.0,0.0,53208.0,34.761689971432865,0.006230775522173238,0.00017924259514694727
2014,CO,08034,31889.0,8390.0,2592.0,42871.0,54.81327704042359,0.006230775522173238,0.00011367274241928972
2016,CT,09001,20437.0,6052.0,0.0,26489.0,54.30556079882215,0.0037998216052312172,6.997113277787258e-05
2016,CT,09002,30772.0,5888.0,0.0,36660.0,67.87779596290234,0.0037998216052312172,5.5980332763131506e-05
